id,title,year,priority_year,publication_year,assignees,domains,cpc_groups,cpc_codes,ipc_groups,ipc_codes,concepts,countries,legal_state,focus
107089672,(WO2023/210125) System for producing hydrocarbons,2022,2022,2025,HITACHI,"Organic fine chemistry; Surface technology, coating",C07C; C25B,C07C-001/12; C07C-002/84; C07C-009/04; C07C-009/06; C07C-009/08; C25B-001/042; C25B-001/23; C25B-003/03; C25B-003/26; C25B-009/00,C07C; C25B,C07C-001/12; C07C-002/84; C07C-009/04; C07C-009/06; C07C-009/08; C25B-001/042; C25B-001/23; C25B-003/03,CATALYST REACTOR; ENERGY SUPPLY; EVAPORATOR; FLOW RATE; HEAT; HEAT ENERGY; HEAT ENERGY SUPPLY; HEATING MEDIUM; HEATING MEDIUM HEAT ENERGY,JP,ALIVE,Non-noble candidate
80803000,Carbon-supported nickel-copper binary nitride catalyst and preparation method and application thereof,2018,2018,2020,TECHNICAL INSTITUTE OF PHYSICS & CHEMISTRY - CHINESE ACADEMY OF SCIENCES,"Chemical engineering; Surface technology, coating",B01J; C25B; Y02E,B01J-027/24; B01J-035/33; B01J-035/40; B01J-035/615; C25B-001/00; C25B-001/04; C25B-011/091; Y02E-060/36,B01J; C25B,B01J-027/24; B01J-035/00; C25B-001/00; C25B-001/04; C25B-011/06,BINARY NITRIDE CATALYST; CARBON DIOXIDE ELECTROCATALYTIC REDUCTION; ELECTROCATALYTIC REDUCTION; NICKEL COPPER BINARY NITRIDE CATALYST; SYNTHESIS GAS; BINARY NITRIDE NANOPARTICLE; NICKEL COPPER BINARY NITRIDE NANOPARTICLE,CN,DEAD,Non-noble candidate
88193055,Hydrocarbon generation system and method for generating hydrocarbon,2018,2018,2024,AIST - NATIONAL INSTITUTE OF ADVANCED INDUSTRIAL SCIENCE & TECHNOLOGY,"Chemical engineering; Surface technology, coating",C25B; Y02E,C25B-001/04; C25B-001/042; C25B-001/23; C25B-003/03; C25B-003/25; C25B-003/26; C25B-009/01; C25B-009/19; C25B-009/67; C25B-009/70,B01J; C25B,B01J-023/10; B01J-023/83; C25B-001/04; C25B-001/042; C25B-001/23; C25B-003/03; C25B-003/25; C25B-003/26,CATALYST; COELECTROLYSIS CELL; COELECTROLYSIS TANK; COELECTROLYTIC CELL; ELECTROCHEMICAL CATALYST,JP,ALIVE,Non-noble candidate
111204819,Method and device for integrally purifying and catalyzing CO2 in coal-fired flue gas and application,2024,2024,2024,QINGDAO UNIVERSITY OF SCIENCE & TECHNOLOGY,"Environmental technology; Materials, metallurgy; Surface technology, coating",B01D; C01B; C25B,B01D-053/60; B01D-053/62; B01D-053/78; B01D-2257/504; C01B-032/50; C25B-003/26,B01D; C01B; C25B,B01D-053/60; B01D-053/62; B01D-053/78; C01B-032/50; C25B-003/26,CO2INTEGRATED PURIFICATION CATALYSIS; COAL FIRED FLUE GAS; FLUE GAS; PURIFICATION CATALYSIS; ELECTROLYZER ANODE ELECTROLYTE; MEMBRANE ELECTRODE ELECTROLYZER ANOLYTE; BIPOLAR MEMBRANE ELECTROLYZER; BICARBONATE; BICARBONATE ELECTROCATALYTIC CONVERSION; MEMBRANE ELECTRODE ELECTROLYZER,CN,ALIVE,
116298732,Carbon shell coated Cu-based bimetallic catalyst suitable for efficient electroreduction of CO2,2025,2025,2025,INSTITUTE OF PROCESS ENGINEERING - CHINESE ACADEMY OF SCIENCES,"Environmental technology; Micro-structure and nano-technology; Surface technology, coating",B01D; B01J; B82Y; C25B; Y02E; Y02P,B01D-053/62; B01D-2257/504; B01J-035/00/13; B01J-035/00/33; B82Y-030/00; B82Y-040/00; C25B-001/00; C25B-001/00/3; C25B-001/04; C25B-003/04,B01D; B82Y; C25B,B01D-053/62; B01D-053/86; B82Y-030/00; C25B-001/23; C25B-011/02; C25B-011/091,BIMETALLIC CATALYST; CU BIMETALLIC CATALYST; ELECTROREDUCTION CARBON SHELL; BIMETALLIC MOF PRECURSOR; CATALYST PREPARATION STRATEGY; PREPARATION STRATEGY; CARBON SHELL; CATALYTIC PERFORMANCE; ELECTROREDUCTION; BIMETALLIC CARBON,CN,ALIVE,Non-noble candidate
35372708,(KR10-1211263) Electrochemical reaction device and method for manufacturing electrochemical reaction device,2011,2011,2012,KOREA ADVANCED INSTITUTE OF SCIENCE & TECHNOLOGY,"Chemical engineering; Materials, metallurgy; Surface technology, coating",C01B; C25B; Y02E,C01B-032/40; C25B-001/042; C25B-009/19; C25B-011/031; C25B-011/091; C25B-013/05; Y02E-060/36,B01J; C01B; C25B,B01J-019/08; C01B-003/06; C01B-032/40; C25B-001/04,ELECTROCHEMICAL REACTION; IMPREGNATING PORE; METAL FOAM; METAL FOAM SUPPORT; STEAM GENERATOR; REACTION IMPREGNATING PORE,KR,ALIVE,Non-noble candidate
100224447,Synthetic gas constant-proportion production system and method,2022,2022,2022,UNIVERSITY SOUTH SCIENCE & TECHNOLOGY CHINA,"Organic fine chemistry; Surface technology, coating",C07C; C25B; Y02P,C07C-029/151/8; C07C-029/152; C25B-001/04; C25B-001/23; C25B-009/19; C25B-015/00; C25B-015/02; Y02P-020/52,C07C; C25B,C07C-029/151; C07C-029/152; C07C-031/04; C25B-001/04; C25B-001/23; C25B-009/19; C25B-015/00; C25B-015/02,FIX RATIO PRODUCTION SYSTEM; FIXED RATIO PRODUCTION; PRODUCTION SYSTEM; STRONTIUM DOPED LANTHANUM MANGANATE; SYNGA; SYNTHESIS GAS; COAL GASIFICATION; GAS CONDITIONING; ELECTROLYTIC TANK; SAMARIUM CODOPED CERIA,CN,ALIVE,
113753877,"Electrolysis device, electrolysis system, and method of operating electrolysis device",2023,2023,2025,TOSHIBA,"Surface technology, coating",C25B,C25B-001/23; C25B-001/27; C25B-003/25; C25B-003/26; C25B-009/70; C25B-009/73; C25B-009/77; C25B-015/02; C25B-015/08,C25B,C25B-001/04; C25B-001/23; C25B-001/27; C25B-003/03; C25B-003/09; C25B-003/25; C25B-003/26; C25B-009/00,AMMONIA; CARBON COMPOUND; CARBON DIOXIDE GAS; CARBON DIOXIDE REDUCTION POTENTIAL; CURRENT DENSITY; ELECTROLYSIS,JP,ALIVE,MEA; Non-noble candidate; GDE
81386940,Electrochemical reaction device and electrochemical reaction method,2017,2017,2020,TOSHIBA,"Surface technology, coating",C25B; Y02E,C25B-001/00; C25B-001/00/3; C25B-001/04; C25B-001/10; C25B-001/55; C25B-003/04; C25B-003/25; C25B-009/00; C25B-009/08; C25B-009/10,C25B,C25B-003/25; C25B-009/19; C25B-009/23; C25B-015/00,CARBON COMPOUND; CARBON COMPOUND GENERATION; COUNTER ELECTRODE; ELECTROCHEMICAL REACTION,JP,ALIVE,Non-noble candidate
112719442,Nickel-copper bimetallic nano-catalyst as well as preparation method and application thereof,2023,2023,2024,ZHEJIANG WANLI UNIVERSITY,"Surface technology, coating",C25B,C25B-001/23; C25B-011/054; C25B-011/055; C25B-011/091,C25B,C25B-001/23; C25B-011/054; C25B-011/055; C25B-011/091,BIMETALLIC NANO CATALYST; BIMETALLIC NANOCATALYST; NICKEL COPPER BIMETALLIC NANO CATALYST; NICKEL COPPER BIMETALLIC NANOCATALYST; NITROGEN DOPED GRAPHENE; NITROGEN DOPED GRAPHENE LAYER; ELECTROREDUCTION CATALYST; COPPER METAL PARTICLE; CARBON DIOXIDE ELECTROREDUCTION; CARBON DIOXIDE ELECTROREDUCTION CATALYST,CN,ALIVE,Non-noble candidate
104121451,Membraneless electrolysis cell and use thereof in electrolysis reactions,2021,2021,2025,FAIRBRICS,"Surface technology, coating",C25B,C25B-001/23; C25B-003/07; C25B-003/23; C25B-009/05; C25B-009/07; C25B-009/13; C25B-009/17; C25B-009/60; C25B-009/67; C25B-011/031,C25B,C25B-001/23; C25B-003/07; C25B-003/23; C25B-009/00; C25B-009/015; C25B-009/05; C25B-009/07; C25B-009/13,3D ELECTROLYSIS CELL; 3D ELECTROLYTIC CELL; ELECTROLYSIS CELL,FR,ALIVE,Non-noble candidate
108896443,Electrolytic device,2022,2022,2026,TOSHIBA,"Surface technology, coating",C25B; Y02E,C25B-001/00; C25B-001/04; C25B-001/23; C25B-001/27; C25B-003/07; C25B-003/26; C25B-009/00; C25B-009/19; C25B-009/23; C25B-009/65,C25B,C25B-001/00; C25B-001/04; C25B-001/23; C25B-001/27; C25B-003/07; C25B-003/26; C25B-009/00; C25B-009/19,AMMONIA; ANODE FLOW PATH; CARBON COMPOUND; CATHODE CATALYST; CATHODE CATALYST LAYER; CATHODE FLOW PATH; ELECTROLYSIS,JP,ALIVE,AEM; Non-noble candidate; GDE
110888177,Catalyst with electrocatalytic oxidation and reduction functions as well as preparation method and application of cataly...,2024,2024,2024,TIANJIN UNIVERSITY OF TECHNOLOGY,"Surface technology, coating",C25B,C25B-001/23; C25B-001/50; C25B-003/26; C25B-011/054; C25B-011/055; C25B-011/065; C25B-011/075,C25B,C25B-001/23; C25B-001/50; C25B-003/26; C25B-011/054; C25B-011/055; C25B-011/065; C25B-011/075,CATALYST; ELECTROCATALYTIC OXIDATION; REDUCTION FUNCTION; ORDERED MESOPOROUS TEMPLATE; ELECTROCATALYTIC CATALYST POOR; ELECTROCATALYTIC CATALYST; SACRIFICIAL TEMPLATE STRATEGY; CATALYST PRODUCTIVITY; NICKEL ATOM; REAGENT,CN,ALIVE,Non-noble candidate
93172692,Electrochemical reaction device,2019,2019,2025,TOSHIBA,"Surface technology, coating",C25B; Y02E; Y02P,C25B-001/00; C25B-001/04; C25B-001/23; C25B-003/03; C25B-003/07; C25B-003/25; C25B-003/26; C25B-009/08; C25B-009/19; C25B-009/73,C25B; C25C,C25B-001/00; C25B-001/04; C25B-001/23; C25B-003/03; C25B-003/07; C25B-003/25; C25B-003/26; C25B-009/00,CESIUM HYDROGEN CARBONATE; CONTROL SECTION; DIAPHRAGM; ELECTROCHEMICAL REACTION; ELECTROCHEMICAL REACTOR,JP,ALIVE,Non-noble candidate
116434365,Preparation method and application of GaOOH (at) Ga-based liquid metal catalytic electrode,2025,2025,2025,KUNMING UNIVERSITY OF SCIENCE & TECHNOLOGY,"Surface technology, coating",C25B,C25B-001/00; C25B-011/04/47,C25B,C25B-001/23; C25B-011/052; C25B-011/054; C25B-011/065; C25B-011/091,CATALYTIC ELECTRODE; GAOOH; LIQUID METAL; LIQUID METAL CATALYTIC ELECTRODE; ELECTROCHEMICAL CATALYSIS; GA ELECTRODE; ACETYLENE BLACK; ANODE ELECTROLYTE; PLATINUM ELECTRODE; CATHODE ELECTROLYTE,CN,ALIVE,Non-noble candidate
101335911,Secondary battery and electro-catalysis electrolytic tank mixing device,2022,2022,2022,HUAZHONG UNIVERSITY OF SCIENCE & TECHNOLOGY,"Electrical machinery, apparatus, energy; Surface technology, coating",C25B; H01M; Y02P,C25B-001/04; C25B-001/23; C25B-003/07; C25B-003/26; C25B-009/00; C25B-015/00; H01M-010/24; H01M-012/06; Y02P-020/133,C25B; H01M,C25B-001/04; C25B-001/23; C25B-003/07; C25B-003/26; C25B-009/00; C25B-015/00; H01M-010/24; H01M-012/06,ELECTROCATALYSIS ELECTROLYTIC CELL; ELECTROCATALYTIC REACTION TANK; SECONDARY BATTERY; ELECTROCATALYTIC REACTION; ELECTROCATALYTIC ELECTROLYSISTHE CELL; ELECTROCATALYSIS MODE; ELECTROCATALYTIC ELECTROLYSIS CELL HYBRID; ELECTROCATALYTIC REACTION TANK ANODE; ELECTROCATALYTIC REACTION TANK CATHODE; ELECTROLYTE,CN,DEAD,Non-noble candidate
106586888,Electrolytic device and method of driving electrolytic device,2022,2022,2025,TOSHIBA,"Surface technology, coating",C25B,C25B-001/04; C25B-001/23; C25B-001/27; C25B-003/26; C25B-009/00; C25B-009/19; C25B-009/60; C25B-015/02; C25B-015/08,C25B,C25B-001/04; C25B-001/135; C25B-001/23; C25B-001/27; C25B-003/26; C25B-009/00; C25B-009/19; C25B-009/23,ACCOMMODATION; ANODE OUTLET; ANODE PASSAGE; CATHODE OUTLET; CATHODE PASSAGE; DRIVING ELECTROLYTIC DEVICE,JP,ALIVE,AEM; Non-noble candidate; GDE
101871166,Solid-electrolyte-type electrolyzer and method for maintaining same,2021,2021,2024,IDEMITSU KOSAN,"Surface technology, coating",C25B,C25B-001/23; C25B-003/26; C25B-009/23; C25B-015/085,C25B,C25B-001/23; C25B-003/26; C25B-009/00; C25B-009/23; C25B-015/00; C25B-015/08,AQUEOUS SOLUTION; BORIC ACID; BORIC ACID BUFFER SOLUTION; BUFFER SOLUTION; CATION,JP,ALIVE,AEM; Non-noble candidate
109306069,Electrolysis device and operation method therefor,2022,2022,2025,LG CHEM,"Surface technology, coating",C25B,C25B-001/04; C25B-001/23; C25B-003/03; C25B-003/07; C25B-003/25; C25B-003/26; C25B-009/19; C25B-009/23; C25B-009/77; C25B-011/032,C25B,C25B-001/04; C25B-001/23; C25B-003/03; C25B-003/07; C25B-003/26; C25B-009/00; C25B-009/19; C25B-009/23,ELECTROLYSIS; ELECTROLYSIS CELL; ELECTROLYSIS STACK; ELECTROLYTE SOLUTION; UNREACTED REACTANT,KR,ALIVE,MEA; AEM; Non-noble candidate; GDE
